ID1,ID2,EdgeType,Score,Annotation
1560,1576,MS1 annotation,5,[2M+2H]+2 [M+Na]+ dm/z=21.98179
1560,1688,MS1 annotation,5,[2M-2H2O+2H]+2 [M+Na]+ dm/z=39.99265
1566,1569,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98196
1568,1580,MS1 annotation,2,[M+NH4]+ [M+Na]+ dm/z=4.95547
1583,1602,MS1 annotation,2,[2M+2H]+2 [M+Na]+ dm/z=21.98201
1630,1632,MS1 annotation,3,[M+NH4]+ [M-2H2O+H]+ dm/z=53.04786
1632,1633,MS1 annotation,3,[2M-2H2O+2H]+2 [M+NH4]+ dm/z=35.03719
1642,1649,MS1 annotation,2,[M+Na]+ [M+K]+ dm/z=15.97395
1650,1712,MS1 annotation,3,[M+Na]+ [M-2H2O+NH4]+ dm/z=40.97685
1656,1657,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98213
1676,1685,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98196
1676,1685,MS1 annotation,2,[M+Na]+ [2M+2H]+2 dm/z=21.98196
1701,1712,MS1 annotation,3,[M+Na]+ [M+H]+ dm/z=21.98168
1701,1712,MS1 annotation,3,[M+Na]+ [2M+2H]+2 dm/z=21.98168
1725,1726,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98186
1725,1726,MS1 annotation,2,[M+Na]+ [2M+2H]+2 dm/z=21.98186
1770,1829,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98189
1770,1829,MS1 annotation,2,[M+Na]+ [2M+2H]+2 dm/z=21.98189
1782,1885,MS1 annotation,2,[2M-2H2O+2H]+2 [M+NH4]+ dm/z=35.03707
1791,1793,MS1 annotation,2,[2M+2H]+2 [M+Na]+ dm/z=21.982
1799,1800,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98195
1808,1809,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98207
1830,1878,MS1 annotation,2,[M+NH4]+ [M+H]+ dm/z=17.02654
1830,1878,MS1 annotation,2,[M+NH4]+ [2M+2H]+2 dm/z=17.02654
1831,1839,MS1 annotation,2,[M+Na]+ [M+NH4]+ dm/z=4.95553
1900,1901,MS1 annotation,3,[2M+2H]+2 [M+Na]+ dm/z=21.98199
1900,1904,MS1 annotation,3,[2M-2H2O+2H]+2 [M+Na]+ dm/z=39.99281
1910,1931,MS1 annotation,2,[M-3H2O+Na]+ [2M+NH4]+ dm/z=226.17857
1977,1984,MS1 annotation,2,[M-3H2O-H+2Na]+ [M+NH4]+ dm/z=27.09358
1979,1980,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98199
1991,1992,MS1 annotation,2,[2M-2H2O+2H]+2 [M+Na]+ dm/z=39.99263
2014,2075,MS1 annotation,2,[M+NH4]+ [M+H]+ dm/z=17.02661
2014,2075,MS1 annotation,2,[M+NH4]+ [2M+2H]+2 dm/z=17.02661
2019,2024,MS1 annotation,2,[2M+2H]+2 [M+NH4]+ dm/z=17.02679
2025,2031,MS1 annotation,2,[M+NH4]+ [M+Na]+ dm/z=4.95539
2066,2071,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98193
2094,2110,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.98215
2094,2110,MS1 annotation,2,[M+Na]+ [2M+2H]+2 dm/z=21.98215
2106,2132,MS1 annotation,3,[M+Na]+ [M-H2O+H]+ dm/z=39.99255
2106,2132,MS1 annotation,3,[M+Na]+ [2M-2H2O+2H]+2 dm/z=39.99255
2128,2132,MS1 annotation,3,[M+Na]+ [M+H]+ dm/z=21.98188
2131,2134,MS1 annotation,2,[M+NH4]+ [M+Na]+ dm/z=4.95533
2144,2152,MS1 annotation,3,[M+Na]+ [M+K]+ dm/z=15.97392
2144,2151,MS1 annotation,3,[M+H]+ [M+K]+ dm/z=37.95608
2151,2152,MS1 annotation,3,[M+Na]+ [M+H]+ dm/z=21.98217
2166,2167,MS1 annotation,2,[M+NH4]+ [M+H]+ dm/z=17.02659
2166,2167,MS1 annotation,2,[M+NH4]+ [2M+2H]+2 dm/z=17.02659
2297,2332,MS1 annotation,2,[M+NH4]+ [M-2H2O-H+2Na]+ dm/z=9.08289
2340,2349,MS1 annotation,2,[M+NH4]+ [M+H]+ dm/z=17.0267
2340,2349,MS1 annotation,2,[M+NH4]+ [2M+2H]+2 dm/z=17.0267
2393,2397,MS1 annotation,2,[M+NH4]+ [M+H]+ dm/z=17.02655
2393,2397,MS1 annotation,2,[M+NH4]+ [2M+2H]+2 dm/z=17.02655
2421,2490,MS1 annotation,3,[2M+2H]+2 [M+NH4]+ dm/z=17.02667
2421,2493,MS1 annotation,3,[M-2H2O+H]+ [M+NH4]+ dm/z=53.04802
2434,2436,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=21.98204
